,mu,xaxis,yaxis,colors
248,-0.3,8.8,7,#9D6C97
601,0.604,8.896,7,#9DC3E6
216,-0.4,8.9,6,#9D6C97
569,0.504,8.996,5,#9DC3E6
184,-0.501,9.001,9,#9D6C97
537,0.403,9.097,6,#9DC3E6
152,-0.6,9.1,5,#9D6C97
505,0.301,9.199,9,#9DC3E6
120,-0.7,9.2,6,#9D6C97
473,0.208,9.292,5,#9DC3E6
88,-0.8,9.3,4,#9D6C97
441,0.103,9.397,6,#9DC3E6
56,-0.903,9.403,5,#9D6C97
730,1.007,9.493,3,#9DD9C5
409,0.003,9.497,5,#9DC3E6
377,0.001,9.499,4,#9DC3E6
24,-1.0,9.5,6,#9D6C97
345,-0.002,9.502,7,#9DC3E6
698,0.9,9.6,2,#9DD9C5
313,-0.102,9.602,7,#9DC3E6
666,0.806,9.693999999999999,1,#9DD9C5
281,-0.2,9.7,6,#9DC3E6
634,0.701,9.799,2,#9DD9C5
249,-0.3,9.8,8,#9DC3E6
602,0.604,9.896,3,#9DD9C5
217,-0.4,9.9,4,#9DC3E6
570,0.504,9.996,1,#9DD9C5
185,-0.501,10.001,8,#9DC3E6
538,0.403,10.097,2,#9DD9C5
153,-0.6,10.1,4,#9DC3E6
506,0.301,10.199,2,#9DD9C5
121,-0.7,10.2,6,#9DC3E6
474,0.208,10.292,3,#9DD9C5
89,-0.8,10.3,7,#9DC3E6
442,0.103,10.397,3,#9DD9C5
57,-0.903,10.403,4,#9DC3E6
731,1.007,10.493,4,#9D6C97
410,0.003,10.497,2,#9DD9C5
378,0.001,10.499,0,#9DD9C5
25,-1.0,10.5,5,#9DC3E6
346,-0.002,10.502,-1,#9DD9C5
699,0.9,10.6,4,#9D6C97
314,-0.102,10.602,1,#9DD9C5
667,0.806,10.693999999999999,4,#9D6C97
282,-0.2,10.7,1,#9DD9C5
635,0.701,10.799,4,#9D6C97
250,-0.3,10.8,1,#9DD9C5
603,0.604,10.896,7,#9D6C97
218,-0.4,10.9,1,#9DD9C5
571,0.504,10.996,5,#9D6C97
186,-0.501,11.001,1,#9DD9C5
539,0.403,11.097,3,#9D6C97
154,-0.6,11.1,2,#9DD9C5
507,0.301,11.199,1,#9D6C97
122,-0.7,11.2,0,#9DD9C5
475,0.208,11.292,4,#9D6C97
90,-0.8,11.3,0,#9DD9C5
443,0.103,11.397,5,#9D6C97
58,-0.903,11.403,1,#9DD9C5
732,1.007,11.493,6,#9DC3E6
411,0.003,11.497,2,#9D6C97
379,0.001,11.499,5,#9D6C97
