mu,xaxis,yaxis,colors
-0.002,9.502,7,#9DC3E6
0.9,9.6,2,#9DD9C5
-0.102,9.602,7,#9DC3E6
0.806,9.693999999999999,1,#9DD9C5
-0.2,9.7,6,#9DC3E6
0.701,9.799,2,#9DD9C5
-0.3,9.8,8,#9DC3E6
0.604,9.896,3,#9DD9C5
-0.4,9.9,4,#9DC3E6
0.504,9.996,1,#9DD9C5
-0.501,10.001,8,#9DC3E6
0.403,10.097,2,#9DD9C5
-0.6,10.1,4,#9DC3E6
0.301,10.199,2,#9DD9C5
-0.7,10.2,6,#9DC3E6
0.208,10.292,3,#9DD9C5
-0.8,10.3,7,#9DC3E6
0.103,10.397,3,#9DD9C5
-0.903,10.403,4,#9DC3E6
1.007,10.493,4,#9D6C97
0.003,10.497,2,#9DD9C5
0.001,10.499,0,#9DD9C5
-1.0,10.5,5,#9DC3E6
-0.002,10.502,-1,#9DD9C5
0.9,10.6,4,#9D6C97
-0.102,10.602,1,#9DD9C5
0.806,10.693999999999999,4,#9D6C97
-0.2,10.7,1,#9DD9C5
0.701,10.799,4,#9D6C97
-0.3,10.8,1,#9DD9C5
0.604,10.896,7,#9D6C97
-0.4,10.9,1,#9DD9C5
0.504,10.996,5,#9D6C97
-0.501,11.001,1,#9DD9C5
0.403,11.097,3,#9D6C97
-0.6,11.1,2,#9DD9C5
0.301,11.199,1,#9D6C97
-0.7,11.2,0,#9DD9C5
0.208,11.292,4,#9D6C97
-0.8,11.3,0,#9DD9C5
0.103,11.397,5,#9D6C97
-0.903,11.403,1,#9DD9C5
1.007,11.493,6,#9DC3E6
0.003,11.497,2,#9D6C97
0.001,11.499,5,#9D6C97
-1.0,11.5,-1,#9DD9C5
-0.002,11.502,1,#9D6C97
0.9,11.6,5,#9DC3E6
-0.102,11.602,2,#9D6C97
0.806,11.693999999999999,7,#9DC3E6
-0.2,11.7,4,#9D6C97
0.701,11.799,6,#9DC3E6
-0.3,11.8,4,#9D6C97
0.604,11.896,4,#9DC3E6
-0.4,11.9,3,#9D6C97
0.504,11.996,7,#9DC3E6
-0.501,12.001,2,#9D6C97
0.403,12.097,6,#9DC3E6
-0.6,12.1,3,#9D6C97
0.301,12.199,4,#9DC3E6
-0.7,12.2,3,#9D6C97
0.208,12.292,4,#9DC3E6
-0.8,12.3,2,#9D6C97
0.103,12.397,4,#9DC3E6
-0.903,12.403,1,#9D6C97
1.007,12.493,5,#9DD9C5
0.003,12.497,6,#9DC3E6
0.001,12.499,6,#9DC3E6
-1.0,12.5,4,#9D6C97
-0.002,12.502,6,#9DC3E6
0.9,12.6,6,#9DD9C5
-0.102,12.602,3,#9DC3E6
0.806,12.693999999999999,7,#9DD9C5
-0.2,12.7,4,#9DC3E6
0.701,12.799,5,#9DD9C5
-0.3,12.8,2,#9DC3E6
0.604,12.896,7,#9DD9C5
-0.4,12.9,4,#9DC3E6
0.504,12.996,5,#9DD9C5
-0.501,13.001,6,#9DC3E6
0.403,13.097,4,#9DD9C5
-0.6,13.1,4,#9DC3E6
0.301,13.199,5,#9DD9C5
-0.7,13.2,4,#9DC3E6
0.208,13.292,6,#9DD9C5
-0.8,13.3,3,#9DC3E6
0.103,13.397,6,#9DD9C5
-0.903,13.403,3,#9DC3E6
1.007,13.493,6,#9D6C97
0.003,13.497,4,#9DD9C5
0.001,13.499,5,#9DD9C5
-1.0,13.5,2,#9DC3E6
-0.002,13.502,5,#9DD9C5
0.9,13.6,6,#9D6C97
-0.102,13.602,7,#9DD9C5
